KIC, 2MASS, rrmscdpp01p5, rrmscdpp02p0, rrmscdpp02p5, rrmscdpp03p0, rrmscdpp03p5, rrmscdpp04p5, rrmscdpp05p0, rrmscdpp06p0, rrmscdpp07p5, rrmscdpp09p0, rrmscdpp10p5, rrmscdpp12p0, rrmscdpp12p5, rrmscdpp15p0, cdppslplong, cdppslpshrt
2435987, b' 19201973+3746549', 330.945, 333.73699999999997, 337.87300000000005, 339.324, 333.89099999999996, 319.014, 314.631, 310.485, 304.44599999999997, 295.988, 290.199, 285.009, 283.44599999999997, 273.365, nan, nan
2568916, b' 19202354+3751229', 237.36700000000002, 239.11700000000002, 243.988, 247.49200000000002, 246.805, 241.949, 241.382, 242.55599999999998, 242.148, 239.28900000000002, 238.143, 238.433, 238.44799999999998, 237.065, nan, nan
2569055, b' 19203005+3750191', 261.08299999999997, 266.887, 275.30400000000003, 282.10900000000004, 281.129, 272.966, 271.16900000000004, 271.091, 268.744, 264.065, 261.325, 259.618, 259.125, 255.048, nan, nan
2436417, b' 19203485+3746298', 246.22799999999998, 251.50900000000001, 259.91, 266.404, 266.447, 260.132, 258.933, 260.533, 258.105, 253.429, 250.99900000000002, 249.611, 249.345, 245.855, nan, nan
2569360, b' 19203934+3748048', 230.795, 234.30599999999998, 242.178, 248.946, 250.547, 248.93, 249.75099999999998, 252.81099999999998, 251.56900000000002, 246.481, 243.85, 243.34099999999998, 243.162, 240.643, nan, nan
2297384, b' 19204557+3739509', 271.85400000000004, 279.209, 288.677, 295.09, 293.686, 283.474, 281.439, 280.882, 277.211, 271.582, 267.99, 265.099, 263.981, 258.355, nan, nan
2569624, b' 19204635+3750228', , , , , , , , , , , , , , , , 
2437171, b' 19204971+3743426', 60.338, 55.648, 52.75899999999999, 51.018, 50.07, 49.409, 49.535, 50.105, 51.428999999999995, 53.058, 54.699, 55.965, 56.172, 55.824, nan, nan
2437353, b' 19205287+3745331', 255.567, 261.389, 270.256, 275.381, 273.939, 264.156, 261.65, 260.316, 256.635, 251.21900000000002, 247.46400000000003, 244.58700000000002, 243.72099999999998, 238.332, nan, nan
2569935, b' 19205338+3748282', 118.17299999999999, 116.712, 118.06200000000001, 120.26299999999999, 121.446, 123.662, 125.521, 128.986, 129.757, 128.495, 128.486, 129.35399999999998, 129.762, 129.928, nan, nan
2569945, b' 19205368+3750236', 259.92400000000004, 266.76, 274.89599999999996, 280.569, 278.95, 269.743, 267.655, 266.904, 263.67900000000003, 258.48400000000004, 254.787, 251.898, 250.998, 246.11, nan, nan
2437496, b' 19205510+3747162', 106.18700000000001, 104.054, 104.454, 106.00299999999999, 107.13799999999999, 109.728, 111.46700000000001, 114.595, 115.615, 114.77, 114.82600000000001, 115.915, 116.189, 116.25299999999999, nan, nan
2437507, b' 19205530+3743152', 222.233, 225.324, 231.35299999999998, 237.255, 239.255, 238.37099999999998, 239.424, 242.692, 241.94099999999997, 237.459, 235.08900000000003, 234.628, 234.447, 233.058, nan, nan
2437564, b' 19205629+3744334', 282.603, 289.185, 298.335, 304.53700000000003, 302.415, 291.519, 288.589, 288.188, 285.128, 279.54200000000003, 275.93, 273.36400000000003, 272.392, 267.127, nan, nan
2570214, b' 19210052+3750188', 255.542, 260.75, 267.962, 273.985, 273.6, 266.407, 264.993, 265.813, 263.965, 259.608, 257.45, 255.951, 255.769, 253.028, nan, nan
2437804, b' 19210086+3745339', 241.108, 247.112, 256.089, 262.808, 262.882, 255.645, 254.47799999999998, 255.437, 253.612, 248.493, 245.296, 243.548, 243.15599999999998, 239.40599999999998, nan, nan
2437816, b' 19210112+3742134', 213.428, 216.327, 222.873, 229.143, 231.33900000000003, 232.32, 233.873, 237.92700000000002, 237.24400000000003, 232.767, 230.764, 230.796, 230.83, 229.22799999999998, nan, nan
2437965, b' 19210426+3747187', 130.151, 129.928, 132.195, 134.537, 135.387, 137.237, 138.855, 142.477, 143.357, 141.76, 141.579, 142.556, 142.77200000000002, 142.17600000000002, nan, nan
2297825, b' 19210483+3741036', 275.418, 282.342, 291.373, 297.92900000000003, 296.244, 286.574, 284.113, 283.442, 279.656, 273.64599999999996, 269.258, 266.953, 265.97900000000004, 259.998, nan, nan
2438051, b' 19210629+3744596', 252.648, 258.441, 265.95599999999996, 271.63, 270.659, 263.103, 261.262, 260.981, 257.762, 252.66299999999998, 249.03799999999998, 246.887, 246.196, 241.997, nan, nan
2570518, b' 19211007+3750008', 362.041, 359.12199999999996, 357.716, 354.42800000000005, 346.874, 329.897, 324.847, 318.814, 311.388, 303.758, 297.232, 291.095, 288.748, 276.149, nan, nan
2438421, b' 19211606+3746462', 55.856, 51.493, 48.79, 47.302, 46.122, 45.323, 45.196999999999996, 45.577, 46.755, 48.465, 50.178000000000004, 51.413000000000004, 51.614, 51.343999999999994, nan, nan
2571093, b' 19213390+3750202', 77.242, 73.845, 72.196, 71.729, 71.667, 72.359, 73.402, 75.251, 76.328, 76.829, 77.861, 79.191, 79.439, 78.93, nan, nan
