KIC, 2MASS, Teff, logg, FeH
2435987, 19201973+3746549, 4348.9, 2.48, 0.19
2568916, 19202354+3751229, 4526.6, 2.92, 0.05
2569055, 19203005+3750191, 4450.0, 2.36, 0.26
2436417, 19203485+3746298, 4447.8, 2.38, 0.24
2569360, 19203934+3748048, 4262.9, 2.21, 0.20
2297384, 19204557+3739509, 4439.2, 2.33, 0.34
2569624, 19204635+3750228, 3927.3, 1.31, 0.16
2437171, 19204971+3743426, 3711.7, 0.81, 0.04
2437353, 19205287+3745331, 4464.4, 2.30, 0.25
2569935, 19205338+3748282, 4042.4, 1.50, 0.22
2569945, 19205368+3750236, 4464.9, 2.32, 0.26
2437496, 19205510+3747162, 3969.0, 1.37, 0.17
2437507, 19205530+3743152, 4224.3, 2.14, 0.24
2437564, 19205629+3744334, 4466.3, 2.39, 0.27
2570214, 19210052+3750188, 4449.3, 2.64, 0.15
2437804, 19210086+3745339, 4430.0, 2.30, 0.28
2437816, 19210112+3742134, 4199.2, 2.03, 0.27
2437965, 19210426+3747187, 4138.2, 1.61, 0.23
2297825, 19210483+3741036, 4463.5, 2.51, 0.26
2438051, 19210629+3744596, 4446.3, 2.42, 0.23
2570518, 19211007+3750008, 4423.4, 2.52, 0.27
2438421, 19211606+3746462, 3729.4, 0.73, 0.07
2571093, 19213390+3750202, 3846.6, 1.13, 0.16
